OrderNo,RecordType
8361342,60
9033427,60
GGELT087176-GD0,60
780378,115
780378,60
FA060868,90
827290,90
PU240310-001,90
PU240038-001,90
PK200003-032,90
816668,115
816668,60
845753,90
799673,90
PV240047-001,90
889716,90
PK200003-034,90
V223006--002,90
PU240802-001,90
896496,90
901556,115
865137,90
PK200003-036,90
901556,60
PK220002-017,90
FA060978,90
PU240996-001,90
PU240998-001,90
PU241457-001,90
PU241315-001,90
FA060983,90
PU241484-001,90
PU241201-001,90
PG240042-001,90
PU241379-001,90
PU241280-001,90
955034,90
PU240702-001,90
971175,90
972010,90
PU241488-001,90
PE241333-001,90
971104,90
978486,90
PK200002-047,90
PK220002-018,90
FA061041,90
PU240702-002,90
PU241556-001,90
PV240063-002,90
PV240063-003,90
PU241301-001,90
0022829,90
971073,90
PU241661-001,90
0001392,90
971315,90
PK200003-038,90
PK200002-049,90
0029815,90
PU241833-001,90
PU241374-001,90
PU241438-001,90
0036686,90
0036687,90
0025438,90
FA061065,90
PS250013-001,90
PU241889-001,90
PK200002-048,90
PU241810-003,90
0040692,90
PU250149-001,90
0062290,90
PU250208-001,90
PU250306-001,90
PU250141-001,90
FA061073,90
FA061073,115
PK200002-050,90
0053445,90
PU241502-001,90
PS250003-001,90
PU250580-001,90
PU250639-01-001,90
PU250132-001,90
0024747,90
0024748,90
0097121,90
PK200002-051,90
PU250604-001,90
PU241258-001,90
PU250639-001,90
PU231089-001,90
PU250775-001,90
PU250894-001,90
PU250359-001,90
0127709,90
0127725,90
PU250561-001,90
PU251011-001,90
PU250609-001,90
PU250608-001,90
PU250497-001,90
0079654,90
PU250465-001,90
PU250555-001,90
0110912,90
0087103,90
PK220002-019,90
PU250351-001,90
PU251109-001,90
PU251107-001,90
0154288,90
0136826,90
PU251009-001,90
0097529,90
0157933,90
0152906,90
PU251254-001,90
0148655,90
0161338,90
0168642,90
0168445,90
0168945,90
0173077,90
0173078,90
PU251096-001,90
ZZ250017-034,90
ZZ250017-044,90
ZZ250017-054,90
ZZ250017-064,90
PK200002-052,90
0175404,90
0139795,90
0176325,90
PU250351-002,90
FA061127,90
0180606,90
0180607,90
PU251232-001,90
PU250419-001,90
PU250730-001,90
ZR250494-001,90
0160708,90
0140389,90
0161903-002,90
0183729,90
ZR250498-001,90
0154230,90
PU251395-001,90
PK200002-053,90
PU250731-001,90
PU250572-001,90
PE250521-001,90
PE250529-001,90
0204847,90
PU250713-001,90
0180345,90
0212645,90
0212946,90
0208030,90
PK200003-040,90
PU250213-001,90
0176193,90
PK200002-054,90
PU251227-001,90
PU251311-001,90
0139599,90
0235985,90
0235986,90
0235987,90
PL250001-007,90
PU251154-001,90
0238651,90
PU251129-001,90
0249531,60
0199545,90
