job_id,OrderNo,OrderPos,Orderstate,ItemNo,SortPos,WorkPlaceNo,Start,End,Duration,LatestStartDate,StartsBeforeLSD,WithinGraceDays,PriorityGroup,IsUnlimitedMachine,IsOutsourcing,OutsourcingDelivery,BufferIndustrial,BufferReal,ReasonSelected,DurationReal,RecordType,IdleBeforeReal,IdleBefore
0093153-3,0093153,3,5,k.D.,999,000-0000,2025-11-14 07:00:00,2025-11-14 07:00:00,0,2025-05-07 10:25:00,False,False,2,True,False,,300,180,Past deadline (urgent) | Unlimited parallel window,0,60,0,0
0176400-8,0176400,8,5,k.D.,0,000-0002,2025-11-14 07:00:00,2026-01-07 14:00:00,21000,2025-11-11 11:15:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,12600,60,0,0
0179761-3,0179761,3,5,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-04 14:00:00,10500,2025-11-05 07:00:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6300,60,0,0
0186703-8,0186703,8,5,k.D.,0,000-0002,2025-11-14 07:00:00,2026-01-07 14:00:00,21000,2025-10-20 12:55:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,12600,60,0,0
0191807-10,0191807,10,5,k.D.,0,000-0002,2025-11-14 07:00:00,2026-01-07 14:00:00,21000,2025-11-12 10:56:00,False,True,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,12600,60,0,0
0191809-3,0191809,3,5,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-10-27 11:54:00,False,False,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
0204372-3,0204372,3,5,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-04 14:00:00,10500,2025-11-12 13:55:00,False,True,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,6300,60,0,0
0206681-3,0206681,3,5,k.D.,0,000-0002,2025-11-14 07:00:00,2026-01-07 14:00:00,21000,2025-11-13 13:09:00,False,True,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,12600,60,0,0
ZR250670-001-2,ZR250670-001,2,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-11-13 11:38:00,False,True,2,True,False,,0,0,Past deadline (urgent) | Unlimited parallel window,4200,60,0,0
0243309-8,0243309,8,3,k.D.,0,000-0002,2025-11-14 07:00:00,2026-01-07 14:00:00,21000,2025-11-19 11:30:00,True,True,2,True,False,,0,0,Has deadline on 19-11-2025 11:30 | Unlimited parallel window,12600,60,0,0
0220056-3,0220056,3,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-12-04 14:00:00,10500,2025-11-25 12:49:00,True,True,2,True,False,,0,0,Has deadline on 25-11-2025 12:49 | Unlimited parallel window,6300,60,0,0
0209662-3,0209662,3,3,k.D.,0,000-0002,2025-11-14 07:00:00,2025-11-27 14:00:00,7000,2025-12-15 10:45:00,True,True,2,True,False,,0,0,Has deadline on 15-12-2025 10:45 | Unlimited parallel window,4200,60,0,0
