WorkPlaceNo,injected_start,injected_end,injected_minutes,reason
0,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
000-0000,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
000-0001,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
000-0002,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
000-0003,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
413-01,2026-12-30 10:00:00,2026-12-30 22:00:00,720,extend_to_horizon_after_last_end
418-01,2026-12-30 12:00:00,2026-12-30 22:00:00,600,extend_to_horizon_after_last_end
418-02,2026-12-30 12:00:00,2026-12-30 22:00:00,600,extend_to_horizon_after_last_end
418-03,2026-12-30 12:00:00,2026-12-30 22:00:00,600,extend_to_horizon_after_last_end
418-04,2026-12-30 12:00:00,2026-12-30 22:00:00,600,extend_to_horizon_after_last_end
418-05,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
418-06,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
418-07,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
431-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431-03,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431-11,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431-13,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
431-15,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
441-01,2026-12-21 12:00:00,2026-12-30 22:00:00,13560,extend_to_horizon_after_last_end
441-02,2026-12-21 12:00:00,2026-12-30 22:00:00,13560,extend_to_horizon_after_last_end
451-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
621-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-02,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-03,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-04,2025-08-31 00:00:00,2026-12-30 22:00:00,701160,unlimited_missing_no_shifts
621-041,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-042,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-05,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-06,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-07,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-10,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-11,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-12,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
621-20,2026-12-22 15:00:00,2026-12-30 22:00:00,11940,extend_to_horizon_after_last_end
621-21,2026-12-18 15:00:00,2026-12-30 22:00:00,17700,extend_to_horizon_after_last_end
621-30,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
621-31,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
621-32,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
621-33,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
621-34,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
621-35,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
621-36,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
630,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
630-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
630-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
630-03,2025-12-23 14:00:00,2026-12-30 22:00:00,536160,extend_to_horizon_after_last_end
630-04,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
630-05,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
630-06,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
660-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
722,2026-12-30 10:00:00,2026-12-30 22:00:00,720,extend_to_horizon_after_last_end
722-01,2026-12-30 10:00:00,2026-12-30 22:00:00,720,extend_to_horizon_after_last_end
724-12,2026-12-23 10:00:00,2026-12-30 22:00:00,10800,extend_to_horizon_after_last_end
724-17,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
724-171,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
724-18,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
724-20,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
724-201,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
724-21,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
724-211,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
724-22,2025-12-23 10:00:00,2026-12-30 22:00:00,536400,extend_to_horizon_after_last_end
724-221,2025-12-23 10:00:00,2026-12-30 22:00:00,536400,extend_to_horizon_after_last_end
724-23,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
724-231,2026-12-29 14:00:00,2026-12-30 22:00:00,1920,extend_to_horizon_after_last_end
727-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-011,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-021,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-03,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
